WMT:59.33:Moving up:0.009999999999998:59.24:58.27:59.03
HD:50.59:Moving up:0.020000000000003:50.37:49.85:50.11
MMM:87.28:Moving up:0.010000000000005:87.84:85.98:87.27
WMT:59.35:Moving up:0.020000000000003:59.24:58.27:59.03
CVX:103.82:Moving down:-0.02000000000001:102.50:101.37:101.78
JNJ:64.61:Moving up:0.010000000000005:64.88:64.25:64.28
KFT:39.09:Moving up:0.010000000000005:39.14:38.84:38.87
CAT:95.69:Moving up:0.039999999999992:97.30:94.08:95.99
AXP:59.52:Moving up:0.020000000000003:59.99:58.93:59.46
JPM:40.87:Moving up:0.019999999999996:41.02:40.12:40.64
WMT:59.36:Moving up:0.009999999999998:59.24:58.27:59.03
UTX:77.47:Moving up:0.010000000000005:77.91:76.76:77.01
CVX:103.83:Moving up:0.010000000000005:102.50:101.37:101.78
AA:9.12:Moving up:0.0099999999999998:9.27:9.00:9.15
DIS:45.37:Moving down:-0.010000000000005:45.80:44.41:45.02
IBM:201.03:Moving up:0.030000000000001:203.00:199.06:201.23
HPQ:23.56:Moving up:0.009999999999998:23.53:22.92:23.33
PG:64.20:Moving up:0.010000000000005:64.29:63.57:63.67
AXP:59.50:Moving down:-0.020000000000003:59.99:58.93:59.46
CAT:95.71:Moving up:0.019999999999996:97.30:94.08:95.99
MMM:87.29:Moving up:0.010000000000005:87.84:85.98:87.27
CVX:103.84:Moving up:0.010000000000005:102.50:101.37:101.78
MCD:92.19:Moving up:0.0099999999999909:93.09:91.56:91.93
UTX:77.48:Moving up:0.010000000000005:77.91:76.76:77.01
IBM:201.01:Moving down:-0.02000000000001:203.00:199.06:201.23
JPM:40.89:Moving up:0.020000000000003:41.02:40.12:40.64
MRK:38.46:Moving up:0.009999999999998:38.49:38.09:38.09
BA:74.16:Moving up:0.030000000000001:74.86:73.32:74.05
UTX:77.46:Moving down:-0.02000000000001:77.91:76.76:77.01
PG:64.19:Moving down:-0.010000000000005:64.29:63.57:63.67
KO:77.56:Moving up:0.010000000000005:77.19:76.49:76.78
VZ:40.61:Moving up:0.019999999999996:40.47:40.10:40.25
MCD:92.18:Moving down:-0.0099999999999909:93.09:91.56:91.93
JNJ:64.62:Moving up:0.010000000000005:64.88:64.25:64.28
JNJ:64.63:Moving up:0.0099999999999909:64.88:64.25:64.28
KO:77.57:Moving up:0.0099999999999909:77.19:76.49:76.78
BA:74.18:Moving up:0.02000000000001:74.86:73.32:74.05
MMM:87.30:Moving up:0.0099999999999909:87.84:85.98:87.27
CAT:95.75:Moving up:0.040000000000006:97.30:94.08:95.99
TRV:64.70:Moving up:0.030000000000001:64.32:63.60:63.92
HPQ:23.57:Moving up:0.010000000000002:23.53:22.92:23.33
DIS:45.39:Moving up:0.020000000000003:45.80:44.41:45.02
HD:50.63:Moving up:0.039999999999999:50.37:49.85:50.11
PG:64.20:Moving up:0.010000000000005:64.29:63.57:63.67
TRV:64.69:Moving down:-0.010000000000005:64.32:63.60:63.92
DD:52.12:Moving up:0.009999999999998:52.60:51.85:52.09
MRK:38.47:Moving up:0.009999999999998:38.49:38.09:38.09
BAC:7.77:Moving up:0.0099999999999998:7.82:7.65:7.73
HD:50.65:Moving up:0.019999999999996:50.37:49.85:50.11
AXP:59.52:Moving up:0.020000000000003:59.99:58.93:59.46
KO:77.58:Moving up:0.010000000000005:77.19:76.49:76.78
CAT:95.76:Moving up:0.010000000000005:97.30:94.08:95.99
CVX:103.89:Moving up:0.049999999999997:102.50:101.37:101.78
BAC:7.76:Moving down:-0.0099999999999998:7.82:7.65:7.73
UTX:77.49:Moving up:0.030000000000001:77.91:76.76:77.01
CAT:95.73:Moving down:-0.030000000000001:97.30:94.08:95.99
CVX:103.85:Moving down:-0.040000000000006:102.50:101.37:101.78
DIS:45.38:Moving down:-0.009999999999998:45.80:44.41:45.02
HPQ:23.56:Moving down:-0.010000000000002:23.53:22.92:23.33
PG:64.19:Moving down:-0.010000000000005:64.29:63.57:63.67
MMM:87.28:Moving down:-0.019999999999996:87.84:85.98:87.27
IBM:201.06:Moving up:0.050000000000011:203.00:199.06:201.23
DD:52.11:Moving down:-0.009999999999998:52.60:51.85:52.09
MMM:87.29:Moving up:0.010000000000005:87.84:85.98:87.27
MCD:92.19:Moving up:0.0099999999999909:93.09:91.56:91.93
AXP:59.50:Moving down:-0.020000000000003:59.99:58.93:59.46
CAT:95.74:Moving up:0.0099999999999909:97.30:94.08:95.99
BA:74.16:Moving down:-0.02000000000001:74.86:73.32:74.05
KFT:39.08:Moving down:-0.010000000000005:39.14:38.84:38.87
IBM:201.08:Moving up:0.02000000000001:203.00:199.06:201.23
UTX:77.47:Moving down:-0.019999999999996:77.91:76.76:77.01
PFE:22.89:Moving up:0.039999999999999:22.79:21.95:22.45
CVX:103.87:Moving up:0.02000000000001:102.50:101.37:101.78
JNJ:64.62:Moving down:-0.0099999999999909:64.88:64.25:64.28
MMM:87.28:Moving down:-0.010000000000005:87.84:85.98:87.27
GE:19.16:Moving up:0.010000000000002:19.04:18.74:18.91
